"","score","text"
"721",1,"get clean costco haul baking via"
"722",1,"hey shop ready business custom alcohol bottles infor"
"723",1,"monday celebrated determining pod market"
"724",0,"peppermint mocha tofee nut crunch"
"725",2,"trying famous tiktok fan caramel heavenly"
"726",1,"guess yall drinking eating healthy"
"727",2,"sweet iced cute picking"
"728",0,"just fyi"
"729",0,"add oat milk app milk options substitutions"
"730",0,"ak_outlet line annywawony"
"731",0,"psa looked date releasing nov"
"732",1,"come join hop chance win"
"733",0,"late night runs"
"734",-1,"launched fall earlier pumpkin spice  returning menu"
"735",0,"world largest chicago"
"736",0,"fan hazelnut cappuccinonand banana loaf bread nice doubt"
"737",-1,"revealed truly disturbing effect home zdnet"
"738",1,"come join hop chance win"
"739",0,"seller etsy"
"740",0,""
"741",0,"enters market store mall kochi navin gurnaney"
"742",0,"bitches eating policy time"
"743",1,"psa takes hours perfect cake pops matched"
"744",1,"blockchain benefits farmers via"
"745",0,"three stores closed toronto residents shook"
"746",1,"share check items loving"
"747",0,"outlet"
"748",1,"wow tasty try"
"749",0,"grad students"
"750",1,"share check items loving"
"751",2,"listen white supremacy covid america biden presidency mean grand"
"752",1,"caramel crunch frappuccino love school attend"
"753",0,"check pair cobalt blue anchor hocking pedestal mugs via"
"754",0,"ak_outlet line annywawony"
"755",0,"morning"
"756",1,"share check items loving"
"757",1,"monday celebrated determining pod market"
"758",0,"civic duty civilised"
"759",0,"haven venti caramel macchiato"
"760",1,"come join hop chance win"
"761",0,"ak_outlet line annywawony"
"762",0,"ceramic tumbler mug seattle pike travel unused via"
"763",0,"ak_outlet line annywawony"
"764",1,"got pumpkin spice sweet"
"765",-1,"sad shops closing favourite location bay cumberland"
"766",0,"getting birthday apparently"
"767",0,"check   mug via"
"768",0,"app buy egift cards using mastercard egc"
"769",0,"day kidding idea"
"770",-1,"try unnoticed"
"771",-2,"line wrapped store car minutes damn crack"
"772",0,"check tartan plaid tall mug green black white via"
"773",0,"omg survive anyway lol"
"774",0," home boss recipes help started"
"775",0,"make peppermint mocha home recipe"
"776",0,"home boss recipes help started"
"777",2,"time pick winner costume contest team patient services team baristas"
"778",0,"magnolia upper grades ultimate teacher self care day nights rest book donut"
"779",1,"watched video suggest reward employee"
"780",0,"check mug   white red ornament balls tall via"
"781",0,"tweet featured article course comments ppl picked typo star"
"782",1,"come join hop chance win"
"783",-1,"just voting scooter vote grab nitro cold brew"
"784",-1,"rainy cold day urge"
"785",0,"beats earnings revenue estimates sbux"
"786",-1,"sales fall expected china markets rebound"
"787",0,"trying quick stop line slooooooooooow"
"788",0,"three stores closed toronto residents shook"
"789",0,"hey dems help beat guy watches"
"790",0,"edmonds mall doubleshot espresso cream food grocery"
"791",1,"please retweet win usd gift card worldwide"
"792",1,"please retweet win usd gift card worldwide"
"793",0,"learn caramel apple spice home feenin"
"794",1,"sharing kid presidents reasons thankful via reminder stude"
"795",-1,"sbux analysis score score breakdown categories score neutral"
"796",2,"offer exclusive usa receive worth answer easy questions enter competition"
"797",1,"edmonds mall frappuccino flavor variety pack food grocery"
"798",1,"finally found sells live thank"
"799",0,"nothing stops storm"
"800",0,"nothing stops storm"
"801",0,"sbux results rev est eps est hit sales"
"802",0," economics chart makes cost"
"803",1,"power home hurricane zeta thank god covered charge"
"804",1,"share check items loving"
"805",1,"bright pink hair rides friend"
"806",2,"offer exclusive usa receive worth answer easy questions enter competition"
"807",0,"origin days"
"808",-1,"woke venti iced feel tired lol"
"809",1,"follow support"
"810",1,"follow support"
"811",0,"company cares employees"
"812",0,"come please please"
"813",1,"finally found sells live thank"
"814",3,"upsell real cookie disclosing cookie policy joining free nice touch kudos"
"815",0,"waiting father law dentist walked nearby inspiring quote"
"816",1,"share check items loving"
"817",1,"share check items loving"
"818",1,"share check items loving"
"819",0,"example company market strategy makes buy"
"820",0,"guys tried salted caramel mocha frappuccino"
"821",-1,"sales fall expected china markets rebound pandemic"
"822",0,"sbux eps beats estimate revenues beat estimate shares"
"823",0,"earnings revenue beat trending"
"824",0,"sbux fourth quarter consolidated net revenue drops billion"
"825",1,"finally found sells live thank"
"826",1,"finally found sells live thank"
"827",1,"finally found sells live thank"
"828",1,"enjoying sun"
"829",0,"sbux earnings results eps adj estimate revenue estimate"
"830",1,"sbux amazing job beating eps revenue estimates job growt"
"831",0," bit fall fun pumpkin carving season rare"
"832",1,"anita barista soooooo appropriate"
"833",-2,"tone deaf sucks covid able armenians"
"834",1,"caf offering minute seating stop enjoy flatbread lunch"
"835",1,"yay finally won wait start racking stars"
"836",1,"glad personal "
"837",0,"iced green matcha tea thanks hubby"
"838",-1," stumbled positive earnings shares jolt"
"839",0,"going live minutes send tell instagram live"
"840",-1,"worst via"
"841",0,"flow grid update sbux shares"
"842",0," turks caicos british overseas territory consists islands"
"843",1," cayman islands mug autonomous british overseas territory western carib"
"844",0,"collects huge amounts data million transactions week simil"
"845",0," santa cruz sierra city mug bolivia country mug released"
"846",0,"mug oriental republic uruguay released"
"847",-1,"twtr sbux report amc earnings insights unusual activity"
"848",0,""
"849",1,"thanks strong"
"850",0," run vases"
"851",0,"experience potential salary increase"
"852",-1,"twtr sbux report amc earnings insights unusual activity"
"853",0,"thru day"
"854",0,"three stores closed toronto residents shook"
"855",0,"mexican mugs added site"
"856",0,"three stores closed toronto residents shook"
"857",-1,"bimbos pays rupees puny"
"858",-1,"sad shops closing favourite location bay cumberland"
"859",1,"happy thursday yall"
"860",1,"like comment potential buy"
"861",2,"good food perfect academic grades"
"862",-1,"nitro cold brew gone gonna"
"863",1,"excited share item shop peppermint scented candle"
"864",-1,"love missed don worry finding pod bes"
"865",0,"now commons pop market buy nitro cold brews free notepad supplies"
"866",0,"three stores closed toronto residents shook"
"867",0,"addiction"
"868",2,"rated suitable aged app compatible devices"
"869",0,"check halloween canister whip ghost lid whip japan via"
"870",1,"check japan anniversary stainless tumbler pink siren via"
"871",0,"check japan anniversary tumbler siren motif via"
"872",0,"check stainless togo  tumbler matte black lid japan via"
"873",2,"check japan sakura charm tumbler vivid pink cherry blossom limited via"
"874",0,"check  stainless togo tumbler lid  limited red via"
"875",-1,"check  world tumbler snowman  limited"
"876",0,"check  snow globe tumbler bearista pink "
"877",0,"three stores closed residents shook"
"878",-1,"moving bitter sweet miss team"
"879",0,"three stores closed toronto residents shook"
"880",0,"three stores closed toronto residents shook"
"881",1,"wine clock support card unique shirts styles colors"
"882",0,"three stores closed toronto residents shook"
"883",0,"three stores closed toronto residents shook"
"884",0,"mistake supporting overly self woke baristas pol"
"885",-1,"anyone win starland game game stupid annoying raffle tickets"
"886",0,"three stores closed toronto residents shook"
"887",0," economics chart makes cost"
"888",0,"three stores closed toronto residents shook"
"889",0,"three stores closed toronto residents shook"
"890",0,"three stores closed toronto residents shook"
"891",-1,"closed canada hurt"
"892",0,"three stores closed toronto residents shook"
"893",0,"considering closure stores"
"894",1,"love worried safety precious account factor authentication"
"895",-1,"feeling trouble"
"896",0,"another thursday week"
"897",0,"magnolia upper grades ultimate teacher self care day nights rest book donut"
"898",0,"midnight snack"
"899",0,"time applied job barista barista experie"
"900",0,"check venti  ivory ceramic tall mug  via"
"901",1,"happy national oatmeal day toppings oatmeal"
"902",0,"happen half time fail pretty"
"903",-1,"twtr sbux report amc earnings insights unusual activity"
"904",-1,"twtr sbux report amc earnings insights unusual activity"
"905",-1,"twtr sbux report amc earnings insights unusual activity"
"906",-1,"twtr sbux report amc earnings insights unusual activ"
"907",-1,"coos bay oregon view bad"
"908",0,"definitely tea morning"
"909",-1,"stresses day little tenderness available"
"910",0,""
"911",0,"comes employ texas guys dividing partners race specifically excluding"
"912",0,"check venti  ivory ceramic tall mug  via"
"913",0,"favorite fall flavor"
"914",1,"morning happiness salted caramel mocha"
"915",0,"finally kerala kochi"
"916",0,"days candylane"
"917",1,"wife comment sons hot chocolate check comedy podcast tip"
"918",1,"delighted kerala doors kochi favourite shopping destination lul"
"919",1,"thinking getting hot chocolate guys"
"920",2,"congratulations winner charlee eye question"
"921",0,"ak_outlet line annywawony"
"922",0,"since pumpkin spice season refer friend associates women health"
"923",0,"ak_outlet line annywawony"
"924",0,"charleston knobs personality home deserves"
"925",-2,"maintain app worst example mobile app planet slow"
"926",-1,"miss days sharpied names else"
"927",-1,"right starting slowly cold beanie mask stay"
"928",0,"time fall rolls air cooler favorite seasonal hot beverage fuzzy"
"929",-2,"hey ongoing issue app stars appear totally lacking missing"
"930",-1,"fell"
"931",1,"favorite morning"
"932",3,"suzie whiting winner free thank sharing photos"
"933",0,"collects huge amounts data million transactions week"
"934",1,"korea menu halloween pumpkin halloween tea sweet pump"
"935",0,"korea menu halloween pumpkin halloween tea"
"936",0,"career day evers park librarians barista hairdresser irl"
"937",0,"branded memory iconic logos americans hours drawing memory"
"938",0,"branded memory iconic logos americans hours drawing memory"
"939",0,"branded memory iconic logos americans hours drawing memory"
"940",0,"branded memory iconic logos americans hours drawing memory"
"941",1,"heaven"
"942",2,"offer exclusive usa receive worth answer easy questions enter competition"
"943",0,"heyheyheyhey tastedlikehotditchwaterbutdamnwasit breathes stares soul"
"944",1,"sorry leave love gone konw easy don tell"
"945",1,"computers live seeing schoolers moment happy thursday"
"946",1,"sorry leave love gone konw easy don tell"
"947",0,"test video"
"948",-1," halloween sink fangs chilling strawberry vampire frappuccino harlow grab bef"
"949",0,"test"
"950",0,"tmr ak_outlet line annywawony"
"951",0,"tmr ak_outlet line annywawony"
"952",-1,"halloween sink fangs chilling strawberry vampire frappuccino harlow grab"
"953",1,"delighted kerala doors kochi favourite shopping destination lul"
"954",0,"house company install sign app"
"955",1,"good morning brew tiful day check post"
"956",0,"near plot thursdays routine somewhat sane surrounded"
"957",1,"come join hop chance win"
"958",1,"delighted kerala doors kochi favourite shopping destinat"
"959",0,"tmr ak_outlet line annywawony"
"960",0,"tmr ak_outlet line annywawony"
"961",0,"tmr ak_outlet line annywawony"
"962",0,"tmr ak_outlet line annywawony"
"963",0,""
"964",0,"find deals selling products"
"965",-2,"drinking paper cardboard straws break taste horrible"
"966",1,"wonder relatives remembe"
"967",0,"oncoming ak_outlet line annywawony"
"968",0,"charleston knobs personality home deserves"
"969",2,"offer exclusive usa receive worth answer easy questions enter competition"
"970",1,"share check items loving"
"971",1,"share check items loving"
"972",1,"share check items loving"
"973",1,"looking recipe perfect strawberries cream frappuccino look frappe recipe rivals"
"974",0,"obviously paying cash time probably notice"
"975",0,"gods covered walk skipped gods voice slipped"
"976",0,"tangos ilong pose"
"977",0,""
"978",1,"free credit strawberry vampire frappucino"
"979",-1,"sbux downtrend moving average convergence divergence macd histogram negative view odds oth"
"980",-1,"sbux downtrend moving average convergence divergence macd histogram negative view odds"
"981",0,"kerala welcomes"
"982",0,"thanks timely response waiting reply emails"
"983",0,"house company install sign app"
"984",1,"share check items loving"
"985",0,"french vanilla triple shot energy hittin"
"986",0,"definitely related"
"987",-1,"check disney anniversary limited edition collectible via"
"988",1,"new trendy hit menu orange juice shots"
"989",1,"share check items loving"
"990",0,"don care name mouth"
"991",0,"korea winter frequency begun frequency kore"
"992",1,"good morning"
"993",1,"fav instagram"
"994",2,"offer exclusive usa receive worth answer easy questions enter competition"
"995",1,"heaven"
"996",1,"happy thursday"
"997",0,"oncoming ak_outlet line annywawony"
"998",0,"oncoming ak_outlet line annywawo"
"999",0,"oncoming ak_outlet line annywawo"
"1000",0,"oncoming ak_outlet line annywawo"
"1001",0,""
"1002",-1,"try unnoticed"
"1003",1,"ready set live friday october noon artist robert vargas"
"1004",1,"share check items loving"
"1005",1,"share check items loving"
"1006",1,"come join hop chance win"
"1007",1,"come join hop chance win"
"1008",0,"custard cream mochi waffle"
"1009",0,"check japan halloween stacking mug black cat white cat via"
"1010",0,"check japan halloween bearista black cat plush toy limited via"
"1011",0,""
"1012",0,"redux drive car ahead paid bill"
"1013",0,"life"
"1014",0,""
"1015",0,"chocolate cream chip frappuccino chocolate whipped cream caramel cream frappuccino butter beer"
"1016",1,"come join hop jaynetownsley chance win"
"1017",0,"tea everyday"
"1018",1,"pay usd promote services singaporeans cheaper"
"1019",1,"food japan reveals seasonal season including cosy delicious ging"
"1020",0,"malaysia"
"1021",1,"pay usd promote services singaporeans cheaper"
"1022",1,"come join hop chance win"
"1023",1,"share check items loving"
"1024",1,"share check items loving"
"1025",-1,"fall autumn themed shelves apartment"
"1026",0,"yall remember committed raising awareness racial equality guys mercur"
"1027",0,"bartering lemme games gether"
"1028",1,"colors fall missouri favorite cheers happy hump day"
"1029",1,"come join hop chance win"
"1030",1,"ibe feeling love decade"
"1031",0,"travel "
"1032",1,"share check items loving"
"1033",1,"support candace valenzuela congress"
"1034",1,"join supporting jackie gordon via veteran educator"
"1035",1,"join supporting cameron webb via responder virginia"
"1036",-1,"life mentally exmo teen living parents weird ate"
"1037",1,"ready set live friday october pst guest artist robert vargas"
"1038",-1,"lakeway daily klan rallies shameful"
"1039",1,"come join hop chance win"
"1040",0,"drive thru kid visiting disney time"
"1041",1,"share check items loving"
"1042",1,"share check items loving"
"1043",0,"mandatory mask policy picking mobile"
"1044",0,"check stainless togo  tumbler matte black lid japan via"
"1045",2,"check japan sakura charm tumbler vivid pink cherry blossom limited via"
"1046",0,"check japan anniversary tumbler siren motif via"
"1047",0,"check  stainless togo tumbler lid  limited red via"
"1048",1,"come join hop chance win"
"1049",0,"app buy egift cards using mastercard egc"
"1050",0,"every time fly tastes"
"1051",0,"playing country western happened jazz miles coltrane"
"1052",0,"iced matcha green tea sounds"
"1053",0,"went time yeah sticking"
"1054",1,"share check items loving"
"1055",0," economics chart makes cost"
"1056",-2,"sometimes venti grande gonna bad bad"
"1057",-1,"twtr sbux report amc thur earnings insights unusual"
"1058",2,"besties little bit lul fun love"
"1059",0,"reveal mug ornaments"
"1060",0,"reveal mug ornaments"
"1061",0,"canada mug"
"1062",1,"celebrate disney world icons mugs"
"1063",0,"frap check"
"1064",0,"new south palm beach county"
"1065",0,"went indigo grab walked book read halloween"
"1066",-1," talkie digital art print kitchen decor addict prints minimalist art bar sign coffe"
"1067",0,"earnings calendar oct oct tech giant oil financials"
"1068",0," economics chart makes cost"
"1069",0,"disappointed local neither cake banana loaf available"
"1070",0,"economics chart makes cost"
"1071",0,"sbux excellent analysis score score breakdown categories score"
"1072",0,"ecommerce insight week giant attributes"
"1073",0,""
"1074",1,"endorsed dowhatwedo artist gotsaa"
"1075",1,"hello american friends classic mean"
"1076",-3,"sad front line workers putting life line subjected threats"
"1077",-1,"devil"
"1078",1,"monday celebrated determining pod market"
"1079",-1,"trying japanese items fall via"
"1080",-1,"check fall black gold studded cold  tumbler venti size"
"1081",0,"farewell iced"
"1082",1,"green tea shot espresso extra hot"
"1083",0," name josh"
"1084",5,"massive thank main prize winner loved supporting students"
"1085",1,"share check items loving"
"1086",1," favorite brand"
"1087",1," favorite brand"
"1088",-1,"check verismo dark roast pods pods count via"
"1089",-2,"tried gonna lie biggest fan reason hype mightve"
"1090",1,"favorite brand"
"1091",0,"bennys puppuccino"
"1092",0,"forget checkout links bio"
"1093",0,"black owned shade"
"1094",1,"guys giving straws lids bit counter productive"
"1095",0,"customers store chantilly wearing masks sign"
"1096",1,"last day play won"
"1097",-1,"break"
"1098",-1,"premium instant add water servings medium roast dark roast mvr"
"1099",0,"check listing"
"1100",0,"flow grid update sbux shares"
"1101",3,"thank students thank card gift card love job"
"1102",0,"check listing"
"1103",0,"update twitter tumbler handlers bees knees"
"1104",0,"branding branding explained"
"1105",0,"name drive thru"
"1106",0,"disgusting support local indie shops restaurants"
"1107",1,"love baristas"
"1108",1,"smile day jeffs shopping adventures continue"
"1109",1,"dodgers blue represented compton favorite local"
"1110",1,"come join hop chance win"
"1111",-1,"gonna miss run placement model console change"
"1112",0,"check listing"
"1113",1,"humor pandemic times"
"1114",0,"even safwan"
"1115",0,"get app click"
"1116",0,"happens microwave starbies realize soon microwave"
"1117",0,"secret puppuccino dogs dogs"
"1118",0,"check listing"
"1119",1," superhero support card unique shirts styles colors"
"1120",1,"fans"
"1121",0,"wednesday morning walk walked movie sets"
"1122",0,"wide awake designer cost"
"1123",-1,"hunting locations nitro cold brew job cries basic"
"1124",0,""
"1125",-1,"trick treat"
"1126",1,"happy hump day start day forgot machine lobby"
"1127",1,"gotta magic lil credit dodgers lakers sparks"
"1128",0,"size matter"
"1129",0,"finally secret page"
"1130",0,""
"1131",-1,"symbol spooky season"
"1132",0,"missing animal therapy complete survey oct share providing program virtual"
"1133",2,"happy celebrate slice"
"1134",0,"giant adapts evolving market investors hope share price grow"
"1135",-1,"drinkers found prices singapore crazy"
"1136",0,""
"1137",0,"trading book val"
"1138",1,"never love todays commute ali office"
"1139",0,"let custom"
"1140",1,"steamed milk ready save lots time rush periods"
"1141",1,"pumpkin season soon peppermint enjoy short scored"
"1142",0,"ashley soar specialist hold raffle friday october students pre"
"1143",3,"happy brought available free lounge park wake"
"1144",1,"karen  blm white woman disrespects black employee pull trump mask"
"1145",0,"enjoyyyy"
"1146",-1,"dear please lids leak cupholders"
"1147",-1," hard rewards items local alw"
"1148",0,"yep outside"
"1149",0,"hometown park soon time decade nov flying"
"1150",1,"live expandable sidewinder mins register free"
"1151",2,"gym ready productive day selling homes"
"1152",0,"check ireland icon mug harp cliffs moher eire city tea  via"
"1153",-1,"tension stock market palpable shifting polls"
"1154",0,"demitasse  saucers"
"1155",-1,"fail runs pumpkin october"
"1156",0,"ordered grande petite hour driving"
"1157",1,"share check items loving"
"1158",2,"tall cappuccino sugar hot sweet milk som"
"1159",1,"prefer"
"1160",1,"want egg cellent start day stop bistro delicious dishes caffeine fix"
"1161",0,"charleston knobs personality home deserves"
"1162",0,"charleston knobs personality home deserves"
"1163",1,"absolutely love frozen hot day wish ther"
"1164",2,"little makes start day thank local yrs strong"
"1165",0,"breakfast hits fuel morning double smoked bacon cheddar egg sandwic"
"1166",2,"offer exclusive usa receive worth answer easy questions enter competition"
"1167",0,"stay gucci friends"
"1168",0,"stay gucci friends"
"1169",0,"starting day"
"1170",0,"items sale white leather notebook"
"1171",0,"imy java chip"
"1172",1,"love"
"1173",0," psychology pumpkin spice  repost click"
"1174",0,""
"1175",4,"good morning beautiful ppl hope safe warm day"
"1176",2,"good morning perfect weather"
"1177",1,"tried buy yesterday cash cashier happy card deal"
"1178",1," created celebrations gatherings enjoy time season"
"1179",0,"start day"
"1180",1,"share check items loving"
"1181",0,"made run"
"1182",-2,"day sit chill white mocha hit sack"
"1183",1," missing hot chocolate mocha mean chocolate"
"1184",0,"frapp pumpkin creation rock hill peds nurse team"
"1185",-1,"new house probable loss teacher funds week"
"1186",-1,"wednesday october boycott"
"1187",-1,"reason garbage bites bacon gouda breakfast sammie"
"1188",1,"share check items loving"
"1189",-1,"fall vibes"
"1190",0," wondered makes growing trading brewing"
"1191",0,"sale dishwash"
"1192",0,"sbux day moving average moved day moving average august view odds"
"1193",0,"wondered makes growing trading brewing cof"
"1194",0,"pre art sketches yummy breakfast"
"1195",0,"corp report earnings october earnings share eps estimate sbux"
"1196",2,"offer exclusive usa receive worth answer easy questions enter competition"
"1197",1,"share check items loving"
"1198",2,"offer exclusive usa receive worth answer easy questions enter com"
"1199",-1,"premium instant add water servings dark roast mvr please call"
"1200",0,"following stocks reporting earnings tomorrow"
"1201",2,"releasing fresh seasonally appropriate offerings japanese consumers spirit"
"1202",2,"releasing fresh seasonally appropriate offerings japanese consumers spir"
"1203",1,"share check items loving"
"1204",1,"autumn truly start day warming treat head bar enjoy sele"
"1205",0,"lyra sky monologuefavorits vol watch lyra sblog"
"1206",0," help black"
"1207",0,"sale tall  rising"
"1208",0,"comes prices varies london meant price throughout"
"1209",1,"share check items loving"
"1210",0,"insect replaced"
"1211",0,"outdoor heating simple"
"1212",0,"prank call presentation launching ipho"
"1213",0,"prank call presentation launching ipho"
"1214",0,"prank call presentation launching"
"1215",0,""
"1216",1,"sbux bidaskscore upgraded bought"
"1217",0,"watching hekhek mixing save php"
"1218",1,"good morning folks light shining lives"
"1219",1,"share check items loving"
"1220",0,"queueing intramuros manila"
"1221",-1,"wondering customize beverage waiting store favourites"
"1222",0,"night moves"
"1223",1,"come join hop chance win"
"1224",0,"coming"
"1225",1,"share check items loving"
"1226",1,"share check items loving"
"1227",1,"share check items loving"
"1228",0,"omg guess job"
"1229",1,"come join hop chance win"
"1230",0," economics chart makes cost"
"1231",0," economics chart makes cost"
"1232",-1,"arrested caught stealing signs stuffing"
"1233",0," economics chart makes cost"
"1234",1,"guys please check sisters page literally please love"
"1235",1,"come join hop jaynetownsley chance win"
"1236",0,"oncoming ak_outlet line annywawony"
"1237",0,"everyday hahah"
"1238",0,"solver lately"
"1239",1,"share check items loving"
"1240",1,"share check items loving"
"1241",1,"share check items loving"
"1242",0,"look unique"
"1243",0,"check halloween canister whip ghost lid whip japan via"
"1244",1,"come join hop chance win"
"1245",0,"check  snow globe tumbler bearista pink  via"
"1246",-1,"check  world tumbler snowman  limited via"
"1247",0,"check  stainless togo tumbler lid  limited red via"
"1248",2,"check japan sakura charm tumbler vivid pink cherry blossom limited via"
"1249",0,"check stainless togo  tumbler matte black lid japan via"
"1250",1,"share check items loving"
"1251",1,"share check items loving"
"1252",0,"check japan anniversary tumbler siren motif via"
"1253",1,"share check items loving"
"1254",1,"check japan anniversary stainless tumbler pink siren via"
"1255",1,"share check items loving"
"1256",-1,"check  world tumbler snowman  limited via"
"1257",0,"branding branding explained"
"1258",0,"check halloween silicon cap lid sunny bottle ghost japan via"
"1259",2,"pumpkin spice creamer grain gluten free friendly"
"1260",0," green tea team"
"1261",0,"month confirm exactly happened"
"1262",0,"bound osaka"
"1263",2,"fave prefer starby dunkin"
"1264",0,"hey text birthday treat tall handcrafted beverag"
"1265",1,"share check items loving"
"1266",1,"share check items loving"
"1267",0,"treated"
"1268",1,"perfect international combination"
"1269",0,"barista name whatever write mug barista photo"
"1270",-1,"sad remember releases days gonna ngl"
"1271",1,"share check items loving"
"1272",1,"share check items loving"
"1273",1,"share check items loving"
"1274",1,"come join hop chance win"
"1275",0,"just sent time send packing chip elect jaime"
"1276",1,"pic yesterday delicious nitro cold brew delicious"
"1277",-1,"thank employee repeat offender refuses wear mask understands"
"1278",1,"come join hop chance win"
"1279",0,"discovered poshmark  tumbler via"
"1280",0,"app buy egift cards using mastercard egc"
"1281",0,"link check video yall subscribe channel"
"1282",0,"take memories leave footprints"
"1283",0,"discovered poshmark original mug bundle via"
"1284",0,"one ago time local listening surfing net"
"1285",0,"using parking sign"
"1286",0,"thanks puppuccinos"
"1287",-1,"try unnoticed"
"1288",-1,"gossip girl "
"1289",2,"matter brand image methods super effective inspir"
"1290",0,"thriller dance pick"
"1291",2,"matter brand image methods super effective inspir"
"1292",0,"sale dishwash"
"1293",0,"sorry posting eggnog rectify"
"1294",0,"yes pick shifts money partners days closest cir"
"1295",0,"swear start seeing"
"1296",2,"matter brand image methods super effective inspir"
"1297",0,"branding branding explained"
"1298",0,""
"1299",2,"matter brand image methods super effective inspir"
"1300",2,"matter brand image methods super effective"
"1301",1,"share check items loving"
"1302",0,"thanks aesthetic doctor night classmate pirit ang ingay namin"
"1303",1,"come join hop chance win"
"1304",1,"endorsed dowhatwedo artist gotsaa"
"1305",0,"spent car dealership rough day land nice day"
"1306",1,"beautiful day caboolture queensland"
"1307",1,"gift card favorite cafe covid anymore"
"1308",1," superhero support card unique shirts styles colors"
"1309",3,"thank wolfman java chip frappuccino extra shot strawberry pure top"
"1310",0,"breed"
"1311",0,"check green sand pail mug metallic trim via"
"1312",0,"check red sand pail mug metallic trim via"
"1313",0,"check yellow sand pail mug metallic trim via"
"1314",0,"check courtsbeesknees video"
"1315",0," shakes venti mocha "
"1316",0,"sale tall  rising"
"1317",-1,"spot mistake"
"1318",-1,"tuesday october boycott"
"1319",2,"thank wolfman java chip frappuccino extra shot strawberry pure"
"1320",0," run vases"
"1321",-1,"behold cinnamon dolce whitest slightly ashamed"
"1322",0,"next week eggnog life"
"1323",0,"check courtsbeesknees video"
"1324",2,"ready head start top rated espresso machines"
"1325",1,"share check items loving"
"1326",1,"share check items loving"
"1327",0,"aka magnolia ave santee"
"1328",0,"watch video tell"
"1329",0,"finally comes decorah"
"1330",1,"favorite seattle tastes oakland san francisco"
"1331",0,"flow grid update sbux shares"
"1332",-2,"sometimes slow smell"
"1333",0,"fault loving delicios"
"1334",1,"just pumpkin spice season hit spot wrote happy birthd"
"1335",0,"custom  reg sale"
"1336",1,"next logical step finding water moon build"
"1337",0,"custom  reg sale"
"1338",0,"custom  reg sale"
"1339",-1,"truth crazy"
"1340",0,"terrorist organization companies donated"
"1341",0,"check courtsbeesknees video"
"1342",2,"matter brand image methods super effective inspir"
"1343",1,"siblings viral wonder"
"1344",0,"now commons pop market buy nitro cold brews free notepad supplies"
"1345",0," collection virginia mug"
"1346",-1,"price complained friend buys instead"
"1347",0,"tried"
"1348",0,"tried"
"1349",2,"matter brand image methods super effective"
"1350",0,"ago everyday lol"
"1351",1,"come join hop chance win"
"1352",0,"released parks mug disney mug showcases park icons"
"1353",0,"tuesday mood"
"1354",0,"swing pumpkin flavored afternoon pick"
"1355",-1,"hate taste anyways reason stop"
"1356",1,"check rose gold stainless steel cold  black straw via"
"1357",0,"next time app sends notification discounted mocha text phone"
"1358",1,"route minutes ago beautiful fading display outsi"
"1359",0,"three regional positions san francisco miami atlanta links app"
"1360",0,"released parks mug disney mug showcases park icons"
"1361",0,"released parks mug disney mug showcases park icons"
"1362",0,"released parks mug disney mug showcases park icons"
"1363",0," economics chart makes rea"
"1364",0,"mores remind"
"1365",0,"new name day finish tea"
"1366",0,"get app click"
"1367",0,"get app click"
"1368",0,"get app click"
"1369",1,"nothing brighten teachers day delivery parent past student"
"1370",0,"get app click"
"1371",0,"augmented reality stop"
"1372",1,"please retweet win usd gift card worldwide"
"1373",1,"fabulous news shut store yulin china please retweet"
"1374",0,"day vacation ipad phones coats blanket gloves backup chargers chair bag snacks"
"1375",0," economics chart makes rea"
"1376",0,"makes commitments advance racial"
"1377",1,"share check items loving"
"1378",0,"avoid bedroom tax simply converting spare"
"1379",0,"avoid bedroom tax simply converting spare"
"1380",0,"avoid bedroom tax simply converting spare"
"1381",0,"avoid bedroom tax simply converting spare"
"1382",0," economics chart makes rea"
"1383",0," economics chart makes rea"
"1384",1,"ready peppermint mocha sznnnnn"
"1385",0," economics chart makes rea"
"1386",0,"get app click"
"1387",0,"get app click"
"1388",1,"fav turkey egg white sandwich"
"1389",0,"get app click"
"1390",0," economics chart makes rea"
"1391",0,"understand name instead poop juice"
"1392",0,"venture capital funds invest restaurant industries list depends"
"1393",-2,"inconsistency lately local starting bother busines"
"1394",0,"today tumbler pick greensboro halloween time near"
"1395",0,"get app click"
"1396",0,"tumbler mug siren crown ceramic traveler anniversary ebay"
"1397",0,"martes"
"1398",1,"grab favorite morning pick shoppes saxony marketplace plain"
"1399",0,"weekly series featuring enterprise demonstrates inclusivity"
"1400",0,"weekly series featuring enterprise demonstrates inclusivity"
"1401",1,"definitely correct tho"
"1402",0,"please vot"
"1403",0,"causes expresso machine uptime pretty bad"
"1404",0,"charleston knobs personality home deserves"
"1405",0,"kudos employee customer constantly refuses attempts enter loca"
"1406",0,"seeing favourite logos web consider"
"1407",0,"today tumbler pick greensboro halloween time near"
"1408",0,"check ceramic travel tumbler mug ornament   tree via"
"1409",0,"terrorist organization companies donated"
"1410",1,"stream positions ariana grande free"
"1411",0," definitely introduce maximum amount time spend sat table"
"1412",0," run vases"
"1413",0,"stayed late reading journal articles night morning espresso guess"
"1414",0,"basic white babe"
"1415",1,"karen  blm white woman disrespects black employee pull trump mask"
"1416",0," sarah davidson wright daughter found spooky art installations yesterday won"
"1417",-1,"sarah davidson wright daughter found spooky art installations yesterday"
"1418",2,"honest world love"
